Experiment,Vertexes,Density,Time(mcs)
1,20,0.3,407.46
2,20,0.3,621.32
3,20,0.3,393.15
4,20,0.3,382.9
5,20,0.3,441.79
6,20,0.3,553.61
7,20,0.3,673.29
8,20,0.3,373.6
9,20,0.3,509.98
10,20,0.3,592.47
11,20,0.3,594.62
12,20,0.3,462.06
13,20,0.3,456.33
14,20,0.3,638.25
15,20,0.3,615.6
16,20,0.3,426.05
17,20,0.3,415.09
18,20,0.3,421.05
19,20,0.3,453.23
20,20,0.3,430.35
21,40,0.3,3679.51
22,40,0.3,3339.77
23,40,0.3,3043.41
24,40,0.3,3262.52
25,40,0.3,3421.31
26,40,0.3,2996.44
27,40,0.3,3234.62
28,40,0.3,3150.7
29,40,0.3,3023.62
30,40,0.3,3388.4
31,40,0.3,3366.23
32,40,0.3,3087.28
33,40,0.3,2977.13
34,40,0.3,2963.07
35,40,0.3,3128.77
36,40,0.3,3291.37
37,40,0.3,3409.86
38,40,0.3,3395.32
39,40,0.3,3175.97
40,40,0.3,3299.24
41,60,0.3,11304.86
42,60,0.3,10173.8
43,60,0.3,11349.44
44,60,0.3,10266.78
45,60,0.3,11165.38
46,60,0.3,10146.62
47,60,0.3,11377.57
48,60,0.3,10195.26
49,60,0.3,11689.42
50,60,0.3,11352.54
51,60,0.3,11505.37
52,60,0.3,10754.82
53,60,0.3,11509.42
54,60,0.3,11216.64
55,60,0.3,11793.14
56,60,0.3,10722.4
57,60,0.3,10218.62
58,60,0.3,11553.29
59,60,0.3,11211.63
60,60,0.3,11359.93
61,80,0.3,27280.57
62,80,0.3,25413.27
63,80,0.3,25939.23
64,80,0.3,25681.73
65,80,0.3,24338.48
66,80,0.3,26980.64
67,80,0.3,24247.88
68,80,0.3,28249.74
69,80,0.3,30444.86
70,80,0.3,26926.04
71,80,0.3,24933.82
72,80,0.3,25859.83
73,80,0.3,27575.73
74,80,0.3,24352.31
75,80,0.3,25972.37
76,80,0.3,26871.2
77,80,0.3,25940.9
78,80,0.3,26626.59
79,80,0.3,25201.32
80,80,0.3,25056.6
81,100,0.3,51527.74
82,100,0.3,53751.23
83,100,0.3,56145.19
84,100,0.3,58439.97
85,100,0.3,54549.93
86,100,0.3,49950.12
87,100,0.3,52844.05
88,100,0.3,51038.5
89,100,0.3,50370.22
90,100,0.3,52754.88
91,100,0.3,52648.07
92,100,0.3,50906.9
93,100,0.3,51646.23
94,100,0.3,51635.03
95,100,0.3,49389.84
96,100,0.3,52452.56
97,100,0.3,52575.83
98,100,0.3,52730.08
99,100,0.3,51538.23
100,100,0.3,52201.51
101,120,0.3,88677.88
102,120,0.3,88098.05
103,120,0.3,86383.1
104,120,0.3,89043.62
105,120,0.3,88925.36
106,120,0.3,86263.66
107,120,0.3,88762.52
108,120,0.3,88041.07
109,120,0.3,89627.98
110,120,0.3,110072.14
111,120,0.3,89908.84
112,120,0.3,90603.11
113,120,0.3,86667.3
114,120,0.3,95095.4
115,120,0.3,91383.22
116,120,0.3,87348.22
117,120,0.3,85501.19
118,120,0.3,86176.63
119,120,0.3,92159.75
120,120,0.3,93559.03
121,140,0.3,147672.18
122,140,0.3,146645.31
123,140,0.3,152405.02
124,140,0.3,144103.53
125,140,0.3,146666.53
126,140,0.3,150170.09
127,140,0.3,137856.96
128,140,0.3,139168.98
129,140,0.3,141169.55
130,140,0.3,146633.63
131,140,0.3,140394.69
132,140,0.3,141050.34
133,140,0.3,140648.13
134,140,0.3,137766.84
135,140,0.3,133233.79
136,140,0.3,142072.44
137,140,0.3,138116.36
138,140,0.3,142418.38
139,140,0.3,148599.62
140,140,0.3,147580.62
141,160,0.3,214983.46
142,160,0.3,209355.12
143,160,0.3,209907.77
144,160,0.3,210035.56
145,160,0.3,214041.47
146,160,0.3,215310.34
147,160,0.3,204672.81
148,160,0.3,219246.86
149,160,0.3,211956.98
150,160,0.3,208742.14
151,160,0.3,215872.29
152,160,0.3,209592.34
153,160,0.3,212700.13
154,160,0.3,219134.81
155,160,0.3,210385.56
156,160,0.3,220920.56
157,160,0.3,226090.91
158,160,0.3,212666.51
159,160,0.3,213689.33
160,160,0.3,209428.31
161,180,0.3,302472.59
162,180,0.3,302907.47
163,180,0.3,301843.64
164,180,0.3,304879.67
165,180,0.3,288392.54
166,180,0.3,301074.03
167,180,0.3,296979.67
168,180,0.3,296888.83
169,180,0.3,300439.83
170,180,0.3,292199.61
171,180,0.3,313439.61
172,180,0.3,296149.49
173,180,0.3,298636.91
174,180,0.3,297788.38
175,180,0.3,288177.97
176,180,0.3,298864.84
177,180,0.3,303994.89
178,180,0.3,296845.91
179,180,0.3,304921.39
180,180,0.3,301885.13
181,200,0.3,413104.77
182,200,0.3,414101.12
183,200,0.3,409945.73
184,200,0.3,412663.7
185,200,0.3,405553.82
186,200,0.3,412770.99
187,200,0.3,428186.18
188,200,0.3,414198.88
189,200,0.3,412467.48
190,200,0.3,413054.7
191,200,0.3,416860.1
192,200,0.3,416205.17
193,200,0.3,420847.18
194,200,0.3,413461.92
195,200,0.3,404820.92
196,200,0.3,407495.5
197,200,0.3,422286.99
198,200,0.3,424444.44
199,200,0.3,425292.49
200,200,0.3,418190.24
